"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0734341";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BC6";;;;;;"Lambert II Etendu";"884549.0491341995";"2302645.5571701764"
"0734343";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BH7";"TCR";;;;;"Lambert II Etendu";"884562.8581147449";"2302721.1591279022"
"0734381";"70428";"PUSEY";"036T";"CENTRE COMMERCIAL L'OASIS";"VTG";"S00";"X0";"";"BH8";"PRT";"TRM";"TDL";"PMX";;"Lambert II Etendu";"885622.9386649299";"2301358.918772494"
"0734353";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM6";"TCR";;;;;"Lambert II Etendu";"884618.3489447271";"2303046.108692268"
"0734338";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM6";"TCR";;;;;"Lambert II Etendu";"884576.8884180216";"2302549.1298338445"
"0734339";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM7";"TCR";;;;;"Lambert II Etendu";"884576.5092652505";"2302582.919961136"
"0734340";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"884557.0981873933";"2302613.679999477"
"0734349";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"884511.209919953";"2302912.739808561"
"0734350";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM6";;;;;;"Lambert II Etendu";"884533.5486752767";"2302943.538239419"
"0734354";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM6";"TCR";;;;;"Lambert II Etendu";"884638.8899824468";"2303077.5196371065"
"0734355";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM6";"TCR";;;;;"Lambert II Etendu";"884657.7890468088";"2303114.4696788355"
"0734382";"70428";"PUSEY";"040T";"CHE PERCHES";"VTG";"S00";"X0";"";"BM8";"TRM";;;;;"Lambert II Etendu";"885637.1793733374";"2301390.599929623"
"0734395";"70428";"PUSEY";"032T";"LD GERMINEY";"VTG";"S00";"X0";"4";"BM8";;;;;;"Lambert II Etendu";"885398.509729515";"2301695.959361216"
"0734335";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM8";;;;;;"Lambert II Etendu";"884553.58004769";"2302432.059855309"
"0734346";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM8";;;;;;"Lambert II Etendu";"884523.8785288683";"2302814.4981845114"
"0734347";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM8";;;;;;"Lambert II Etendu";"884507.808605013";"2302840.4475379568"
"0734348";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BM8";;;;;;"Lambert II Etendu";"884502.5589232554";"2302874.318135903"
"0734468";"70428";"PUSEY";"046T";"CHE BOIS MOURLOT";"BRE";"BD0";"X0";;"BM8";"PRT";"RPC";"TRM";;;"Lambert II Etendu";"882718.3799876288";"2301392.3200276624"
"0734351";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"884558.0394255971";"2302979.0384776937"
"0734342";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"884554.5096645306";"2302680.7081631124"
"0734352";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"884590.5597431231";"2303011.4075353257"
"0734344";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BH7";"TCR";;;;;"Lambert II Etendu";"884565.2789356583";"2302751.380095744"
"0734389";"70428";"PUSEY";"032T";"LD GERMINEY";"VTG";"S00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"885440.4883792284";"2301597.789345362"
"0734390";"70428";"PUSEY";"032T";"LD GERMINEY";"VTG";"S00";"X0";"1";"BS7";"PCG";;;;;"Lambert II Etendu";"885403.8484892312";"2301637.218184421"
"0734391";"70428";"PUSEY";"032T";"LD GERMINEY";"VTG";"S00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"885380.7383438074";"2301658.8700210876"
"0734336";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"884557.5399259445";"2302472.2990344577"
"0734337";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"884566.0684708399";"2302513.5285616852"
"0734356";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"884661.839045837";"2303144.8899935316"
"0734385";"70428";"PUSEY";"040T";"CHE PERCHES";"VTG";"S00";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"885542.8790228339";"2301497.3271251502"
"0734394";"70428";"PUSEY";"032T";"LD GERMINEY";"VTG";"S00";"X0";"";"BM8";"PRT";"TRM";;;;"Lambert II Etendu";"884875.5493886459";"2302147.4686075784"
"0734383";"70428";"PUSEY";"040T";"CHE PERCHES";"VTG";"S00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"885603.348827665";"2301428.6980099073"
"0734384";"70428";"PUSEY";"040T";"CHE PERCHES";"VTG";"S00";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"885573.1990798856";"2301463.9689709647"
"0734386";"70428";"PUSEY";"040T";"CHE PERCHES";"VTG";"S00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"885507.7090581539";"2301527.7698879493"
"0734387";"70428";"PUSEY";"040T";"CHE PERCHES";"VTG";"S00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"885475.5381711221";"2301562.949677633"
"0734388";"70428";"PUSEY";"032T";"LD GERMINEY";"VTG";"S00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"885460.3199525303";"2301579.0494855577"
"0734345";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"884542.4686838187";"2302784.588954206"
"0734357";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS8";"PCH";"PRT";"TRM";"PMX";;"Lambert II Etendu";"884669.3697526235";"2303175.289709662"
"0734358";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS8";"TRM";"REC";;;;"Lambert II Etendu";"884721.9865242032";"2303165.721191082"
"0734359";"70428";"PUSEY";"019T";"RUE MOULIN";"VTG";"S00";"X0";"";"BS8";"TRM";"REC";;;;"Lambert II Etendu";"884757.4437979008";"2303161.83955416"
"0734467";"70428";"PUSEY";"046T";"CHE BOIS MOURLOT";"BRE";"BD0";"X0";;"BS8";"TRM";;;;;"Lambert II Etendu";"882730.7899953705";"2301340.050029416"
"0734378";"70428";"PUSEY";"005T";"RUE MAISON DU BERGER";"VTG";"S00";"X0";"";"MI8";"PCG";"TRM";;;;"Lambert II Etendu";"884537.2086350254";"2301824.541063316"
